         151132274 function calls (130869161 primitive calls) in 108.756 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.015    0.000  108.392    0.108 /home/kavi/thesis/Simulator.py:66(run)
      600    0.207    0.000  106.634    0.178 /home/kavi/thesis/basic_MCTS_python/mcts.py:47(mcts)
     3000    0.328    0.000   50.178    0.017 /home/kavi/thesis/./basic_MCTS_python/reward.py:32(reward_network)
     2000    0.360    0.000   37.619    0.019 /home/kavi/thesis/./basic_MCTS_python/rollout.py:99(rollout_network)
20122864/38236   15.616    0.000   36.546    0.001 /usr/lib/python3.8/copy.py:128(deepcopy)
82992/52992    0.493    0.000   36.061    0.001 /usr/lib/python3.8/copy.py:258(_reconstruct)
82992/68236    2.240    0.000   35.385    0.001 /usr/lib/python3.8/copy.py:200(_deepcopy_list)
   165984    0.052    0.000   34.492    0.000 /usr/lib/python3.8/copy.py:263(<genexpr>)
    32031   24.950    0.001   27.215    0.001 /home/kavi/thesis/SensorModel.py:159(create_binary_matrices)
    42952    0.120    0.000   26.254    0.001 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
  6557536    7.054    0.000   24.031    0.000 /usr/lib/python3.8/copy.py:209(_deepcopy_tuple)
  6557536    3.255    0.000   16.397    0.000 /usr/lib/python3.8/copy.py:210(<listcomp>)
160386/26731    0.294    0.000   15.167    0.001 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1045(_call_impl)
    26731    0.496    0.000   15.068    0.001 /home/kavi/thesis/NeuralNet.py:88(forward)
    26731   13.310    0.000   13.333    0.000 /home/kavi/thesis/NeuralNet.py:14(create_image)
     3000    0.054    0.000   11.030    0.004 /home/kavi/thesis/./basic_MCTS_python/reward.py:8(reward_greedy)
    53462    0.113    0.000   10.996    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:442(forward)
    53462    0.072    0.000   10.843    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:434(_conv_forward)
    53462   10.772    0.000   10.772    0.000 {built-in method conv2d}
    19628    2.058    0.000    6.950    0.000 /home/kavi/thesis/SensorModel.py:42(scan_mcts)
     2000    0.104    0.000    5.794    0.003 /home/kavi/thesis/./basic_MCTS_python/rollout.py:47(rollout_greedy)
  7742004    4.651    0.000    5.278    0.000 /home/kavi/thesis/SensorModel.py:338(euclidean_distance)
 40340060    3.303    0.000    3.303    0.000 {method 'get' of 'dict' objects}
 27136823    2.392    0.000    2.392    0.000 {built-in method builtins.id}
